Time,X,Y,Z
0.0,1.0,1.0,1.0
0.004,1.0020336677863662,1.1039020945824178,0.9935785366803889
0.008,1.0080445740642783,1.2078717407326827,0.9876576166306861
0.012,1.017907066209352,1.3123015990312608,0.9822564856337224
0.016,1.031508148927061,1.4175811526932176,0.9773997773645082
0.02,1.0487474842527393,1.5240967075682188,0.9731175133902338
0.024,1.0695373915515787,1.6322313921405298,0.9694451031702691
0.028,1.093802847518631,1.7423651575290149,0.9664233440561639
0.032,1.1214814861788063,1.8548747774871384,0.9640984212916477
0.036000000000000004,1.152523598886874,1.9701338484029645,0.9625219080126299
0.04,1.1868850188223223,2.0885262443344654,0.9617602553912217
0.044,1.2245602496991894,2.2104020926345247,0.961886389688681
0.048,1.265588394606921,2.336063289822519,0.9629619527649727
0.052000000000000005,1.3100150143661777,2.465822181594669,0.9650606206148129
0.056,1.3578916338831377,2.600002363793605,0.9682684962159145
0.06,1.4092757421494975,2.738938682408369,0.9726841095289868
0.064,1.4642307922424715,2.8829772335744144,0.9784184174977352
0.068,1.5228262013247922,3.0324753635736044,0.9855948040488617
0.07200000000000001,1.5851373506447097,3.187801668834213,0.9943490800920647
0.076,1.6512455855359922,3.3493359959309243,1.0048294835200389
0.08,1.7212382154179267,3.5174694415848364,1.0171966792084755
0.084,1.795208513795317,3.692604352663454,1.031623759016062
0.088,1.8732557182584855,3.8751543261806956,1.0482962417844823
0.092,1.9554882926472061,4.065532955858066,1.0674321490035046
0.096,2.0420633171874885,4.264084107919158,1.0893622008206285
0.1,2.133162041207914,4.471211587057763,1.1142794774719267
0.10400000000000001,2.2289704333575826,4.687340684438438,1.1423892105887663
0.108,2.329680968715687,4.912902349013052,1.173944045483462
0.112,2.435492628791515,5.1483331875207865,1.2092440411492753
0.116,2.5466109015244474,5.394075464488131,1.2486366702604148
0.12,2.6632477812839594,5.650577102228885,1.2925168191720358
0.124,2.785621768869622,5.918291680844163,1.341326787920241
0.128,2.913957871511098,6.19767843822239,1.3955562902220806
0.132,3.0484876028681445,6.489202270039298,1.4557424534755512
0.136,3.189448983030614,6.793333729757935,1.5224698187595962
0.14,3.3370865385184514,7.110549028628654,1.596370340834107
0.14400000000000002,3.4916513022816975,7.441330035689124,1.6781233881399213
0.148,3.653400813700485,7.786164277764322,1.7684557427988241
0.152,3.8225991185850448,8.14554493946654,1.8681416006135474
0.156,3.9995167691756968,8.519970863195377,1.9780025710677709
0.16,4.18441384129872,8.909868262120941,2.098923746919821
0.164,4.377062206347395,9.31331228101621,2.232365050461154
0.168,4.577766580128211,9.730597408547819,2.3795039503723414
0.17200000000000001,4.787123909298171,10.163300879731189,2.541332580378682
0.176,5.005679978232469,10.612734383760134,2.7189560602383995
0.18,5.233929409024492,11.079944064006902,2.9135924957426473
0.184,5.472315661485817,11.565710518022131,3.1265729787155037
0.188,5.7212310331462115,12.070548797534883,3.359341587013974
0.192,5.9810166592536325,12.594708408452625,3.6134553845279895
0.196,6.251962512774232,13.138173310861236,3.8905844211804106
0.2,6.534307404392349,13.700661919025006,4.192511732927023
0.20400000000000001,6.828238982510516,14.281627101386636,4.5211333417565385
0.20800000000000002,7.133893733249458,14.880256180567242,4.878458255690598
0.212,7.451356980448082,15.495470933366338,5.266608468783764
0.216,7.780662885663504,16.125927590761872,5.687818961123537
0.22,8.12179444817101,16.77001683791018,6.144437698830331
0.224,8.474683504964094,17.425863814146023,6.6389256340574985
0.228,8.839210730754429,18.091328112982566,7.17385670499131
0.232,9.215205637971888,18.764003782111384,7.751917835850962
0.23600000000000002,9.602446576764528,19.441219323402475,8.375908936888592
0.24,10.000660734998599,20.120037692904226,9.04874290438924
0.244,10.409524138258547,20.797256300843458,9.773445620670902
0.248,10.828661649847007,21.469407011625393,10.55315595408448
0.252,11.257646970784798,22.132756143833664,11.391125759013809
0.256,11.696002639810938,22.783304470230313,12.29071987587565
0.26,12.14310189355119,23.41696714879685,13.254798564336038
0.264,12.597178627589692,24.029621218857038,14.280367661566638
0.268,13.056701789572863,24.613022972265917,15.367967131505344
0.272,13.520147453606967,25.158424151746694,16.518603992617773
0.276,13.985772338306857,25.657349968805562,17.73214389182496
0.28,14.451613806795972,26.101599103731715,19.007311104503366
0.28400000000000003,14.915489866706334,26.483243705597328,20.341688534484874
0.28800000000000003,15.37499917017856,26.794629392257576,21.73171771405677
0.292,15.827521013861835,27.028375250350614,23.17269880396178
0.296,16.270215338913957,27.177373835297598,24.658790593398063
0.3,16.700022731001294,27.234791171302668,26.18301050001918
0.304,17.113664420298797,27.19406675135296,27.737234569934103
0.308,17.507642281490014,27.048913537218592,29.312197477707247
0.312,17.878238833767075,26.79331795945268,30.897492526358434
0.316,18.221517240830686,26.421539917391332,32.48157164736291
0.32,18.534376269769453,25.924746372361387,34.053877956553244
0.324,18.814611001442362,25.29769516508881,35.6028195950862
0.328,19.057899129402283,24.549036849104525,37.11071956820279
0.332,19.260408555006393,23.687851266781497,38.56138268194172
0.336,19.41888934134899,22.723256399939395,39.94031998098019
0.34,19.530673713261503,21.664408369844594,41.23474874863379
0.34400000000000003,19.593676057312486,20.520501437210154,42.433592506856584
0.34800000000000003,19.60639292180761,19.300768002195845,43.52748101624106
0.352,19.567903016789685,18.014478604408133,44.508750276018155
0.356,19.477867214038625,16.670941922900163,45.37144252405726
0.36,19.336528547071488,15.279504776171786,46.1113062368662
0.364,19.14471221114245,13.849552122169573,46.72579612959123
0.368,18.90382556324281,12.39050705828677,47.21407315601706
0.372,18.615858122100995,10.911830821363337,47.57700450856684
